                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.85779,                0.80727,                 1.0909,                0.60637,                0.65648,                0.65939,                0.46232,                 1.1366,                 1.0504,                 1.5182,             0.00048406,             0.00048406,             0.00048406
                     59,                0.86485,                0.77565,                  1.092,                 0.5738,                0.66953,                 0.6656,                0.46977,                 1.0698,                0.99248,                 1.4515,             0.00047306,             0.00047306,             0.00047306
                     60,                0.85576,                0.77318,                 1.0938,                0.63783,                0.64523,                0.66195,                0.46638,                 1.0361,                 1.0269,                 1.4262,             0.00046206,             0.00046206,             0.00046206
                     61,                 0.8479,                0.77406,                  1.082,                0.61984,                0.66432,                0.64463,                0.44837,                 1.0746,                 1.0572,                 1.4474,             0.00045107,             0.00045107,             0.00045107
                     62,                0.83905,                0.75952,                 1.0848,                0.59183,                0.67522,                0.65601,                0.46175,                 1.0729,                  1.035,                 1.4541,             0.00044007,             0.00044007,             0.00044007
                     63,                0.83292,                0.75983,                 1.0827,                0.62241,                0.63475,                0.67375,                0.47505,                 1.0606,                0.96996,                 1.4376,             0.00042907,             0.00042907,             0.00042907
                     64,                0.84023,                0.74417,                 1.0774,                0.53445,                0.64033,                0.64417,                 0.4589,                 1.0578,                 1.1011,                 1.4127,             0.00041807,             0.00041807,             0.00041807
                     65,                0.82583,                0.72204,                 1.0775,                0.65479,                  0.613,                0.65922,                0.46532,                 1.0754,                 1.0167,                  1.463,             0.00040707,             0.00040707,             0.00040707
                     66,                 0.8369,                0.72572,                 1.0639,                 0.6492,                0.62783,                0.67779,                0.47872,                 1.0653,                 0.9869,                 1.4428,             0.00039607,             0.00039607,             0.00039607
                     67,                0.81999,                0.72975,                 1.0687,                0.58077,                 0.6784,                0.66084,                0.46095,                 1.0866,                  1.039,                 1.4335,             0.00038507,             0.00038507,             0.00038507
                     68,                0.82764,                0.71073,                 1.0714,                0.63824,                0.60196,                0.66983,                0.47287,                 1.0478,                0.97716,                 1.4268,             0.00037407,             0.00037407,             0.00037407
                     69,                0.83458,                0.70886,                 1.0703,                0.62715,                0.61062,                0.64351,                0.45424,                 1.0599,                 1.0228,                  1.421,             0.00036307,             0.00036307,             0.00036307
                     70,                0.82271,                0.70074,                 1.0705,                0.60563,                0.66955,                0.65305,                 0.4557,                  1.081,                 1.0245,                 1.4378,             0.00035208,             0.00035208,             0.00035208
                     71,                0.80134,                0.68542,                 1.0575,                0.60075,                 0.6693,                0.65833,                0.46175,                 1.0794,                 1.0664,                 1.4547,             0.00034108,             0.00034108,             0.00034108
                     72,                0.80916,                0.68992,                 1.0596,                0.63107,                0.63015,                0.65854,                0.46534,                 1.0523,                 1.0517,                 1.4369,             0.00033008,             0.00033008,             0.00033008
                     73,                0.80375,                 0.6863,                 1.0632,                0.61745,                0.61178,                0.64914,                0.45489,                 1.0788,                 1.0473,                 1.4247,             0.00031908,             0.00031908,             0.00031908
                     74,                0.78806,                0.68911,                 1.0637,                0.58755,                0.66997,                0.64639,                0.45513,                 1.0404,                 1.0358,                  1.424,             0.00030808,             0.00030808,             0.00030808
                     75,                 0.7948,                0.66971,                 1.0605,                0.63387,                0.64265,                0.65253,                0.46256,                 1.0484,                 1.0158,                 1.4023,             0.00029708,             0.00029708,             0.00029708
                     76,                  0.802,                0.67209,                 1.0576,                0.63809,                0.62427,                 0.6494,                0.45854,                 1.0411,                 1.0273,                  1.405,             0.00028608,             0.00028608,             0.00028608
                     77,                0.79281,                0.66531,                 1.0558,                0.59695,                0.67738,                0.65354,                0.46003,                 1.0647,                 1.0287,                 1.4201,             0.00027508,             0.00027508,             0.00027508
                     78,                0.78982,                0.64384,                 1.0561,                0.62211,                0.64913,                0.65994,                0.46457,                  1.062,                 1.0593,                 1.4116,             0.00026408,             0.00026408,             0.00026408
                     79,                0.78907,                0.64132,                  1.046,                0.65911,                0.62553,                0.65162,                0.45729,                 1.0464,                 1.0169,                 1.4182,             0.00025309,             0.00025309,             0.00025309
                     80,                0.77313,                0.64199,                 1.0491,                 0.6587,                0.62991,                 0.6613,                  0.456,                 1.0894,                 1.0201,                 1.4405,             0.00024209,             0.00024209,             0.00024209
                     81,                0.79028,                0.64057,                  1.054,                0.59609,                0.63488,                0.62815,                0.43868,                  1.054,                 1.0268,                  1.453,             0.00023109,             0.00023109,             0.00023109
                     82,                0.77748,                0.64085,                 1.0418,                0.60153,                0.67519,                0.65658,                0.45822,                 1.0677,                 1.0339,                 1.4614,             0.00022009,             0.00022009,             0.00022009
                     83,                0.77477,                0.62624,                 1.0432,                0.62204,                0.66741,                0.64822,                0.45331,                  1.052,                 1.0269,                 1.4358,             0.00020909,             0.00020909,             0.00020909
                     84,                0.77322,                0.61876,                 1.0473,                0.55977,                0.69785,                0.64735,                0.45332,                 1.0614,                 1.0526,                 1.4443,             0.00019809,             0.00019809,             0.00019809
                     85,                0.76923,                0.62702,                 1.0455,                0.63162,                0.64091,                0.64151,                0.45037,                 1.0502,                 1.0488,                 1.4425,             0.00018709,             0.00018709,             0.00018709
                     86,                0.77557,                0.63252,                 1.0514,                0.60345,                0.65894,                0.63623,                0.44411,                 1.0521,                 1.0892,                 1.4249,             0.00017609,             0.00017609,             0.00017609
                     87,                0.76286,                0.60919,                  1.044,                0.63415,                0.63447,                0.64896,                0.45586,                 1.0555,                 1.0529,                 1.4372,             0.00016509,             0.00016509,             0.00016509
                     88,                0.76284,                0.59995,                 1.0324,                0.61001,                0.65126,                0.64555,                0.45133,                 1.0534,                 1.0382,                 1.4202,              0.0001541,              0.0001541,              0.0001541
                     89,                0.75938,                0.60367,                 1.0339,                0.63917,                0.62525,                0.65481,                  0.456,                 1.0525,                 1.0362,                 1.4257,              0.0001431,              0.0001431,              0.0001431
                     90,                0.75869,                0.60604,                 1.0334,                0.58788,                0.66193,                0.63523,                0.44468,                 1.0541,                 1.0605,                 1.4443,              0.0001321,              0.0001321,              0.0001321
                     91,                0.76786,                0.53534,                 1.0405,                0.60949,                0.63231,                0.63277,                0.44449,                 1.0552,                 1.0486,                 1.4364,              0.0001211,              0.0001211,              0.0001211
                     92,                0.73038,                0.49168,                 1.0291,                 0.5888,                0.66614,                0.64025,                0.44973,                  1.052,                 1.0518,                 1.4164,              0.0001101,              0.0001101,              0.0001101
                     93,                0.73202,                0.49048,                 1.0387,                0.56193,                0.70041,                0.63794,                0.44638,                 1.0516,                 1.0479,                 1.4329,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.71769,                0.50533,                 1.0346,                0.60065,                0.65979,                0.63299,                 0.4438,                 1.0545,                 1.0923,                 1.4346,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.70962,                0.46879,                  1.021,                0.61334,                0.62831,                0.63101,                0.44349,                 1.0471,                 1.0879,                 1.4301,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.71266,                0.47199,                 1.0177,                0.58848,                0.66594,                0.62896,                0.44084,                 1.0536,                 1.0791,                 1.4512,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.71563,                0.46583,                 1.0203,                0.61576,                0.63472,                0.62928,                0.44389,                 1.0566,                  1.067,                  1.458,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.70806,                0.46002,                 1.0228,                0.56429,                0.69935,                0.62693,                0.44203,                 1.0532,                 1.0549,                 1.4444,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.70216,                0.45793,                 1.0233,                0.56472,                0.71303,                  0.629,                0.44438,                 1.0481,                 1.0535,                 1.4496,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.69469,                0.45312,                 1.0114,                0.59302,                0.68684,                0.62992,                0.44383,                 1.0569,                  1.066,                  1.463,             2.2109e-05,             2.2109e-05,             2.2109e-05
